customer_text,brand_reply,intent
@AppleSupport i’m streaming music now but it still does it sometimes when i’m offline,@154028 Got it. Please tell us which version of iOS you have installed on your iPhone. You'll see this in Settings &gt; General &gt; About.,other_general
"@AppleSupport If you look at my previous tweets, I’ve tried this. Sorry! I am still looking!","@223016 Just to make sure we understand, you've already looked through the list under Not on This iPhone on the App Store app?",other_general
@AppleSupport can you reset my security questions for me?,@359547 We can help. Use the link to get to our Apple ID support for help with your security questions: https://t.co/UJm15vmMM2,other_general
Can you guys explain me why the “I” don’t work anymore @115858 ?? I’m getting frustrated 🙄🙄🙄,@374459 Here’s what you can do to work around the issue until it’s fixed in a future software update: https://t.co/xXaXeeSRt9 https://t.co/GDrqU22YpT,other_general
"@115858 #mac #apple. So my macbook pro battery is expanding and its not considered a quality issue.  This seems very dangerous, and a defect.",@583093 We'd like to know more about what you're experiencing. Please send us a DM of what's going on with your battery to start. https://t.co/GDrqU22YpT,device_troubleshooting
"Hey @123765 @AppleSupport I️ fucking I️ hate I️ y’all I️ so I️ fucking I️ much !! I️ !!! I️ !!!!!!!!!!!I️ 
I️ fuck I️ you I️",@640041 Thanks for reaching out. Please update to iOS 11.1.1 to resolve this issue: https://t.co/xXaXeeSRt9,device_troubleshooting
@AppleSupport Hi all the settings quoted there are enabled bearing in mind it is a series 3 I am using as well,"@150194 Thanks for checking. When did this issue first start? Join us in DM with your current location, we can continue gathering details there. https://t.co/GDrqU22YpT",other_general
"@AppleSupport! Hey I can't get a disc out MacBook Pro (2012): keeps trying to run the disc to no avail, making unpleasantries. #AppleSupport",@609756 We’re happy to help with your MacBook Pro. Could you let us know more details via a DM. We’ll move forward from there. https://t.co/GDrqU22YpT,other_general
iPhone dead and won't charge after update. What gives @115858,@339437 This is not the experience we want you to have. Which iPhone model do you own?,device_troubleshooting
@AppleSupport This issue is happening on the Mac. 11/14 in Safari reading email and today in a text message. Please fix.,"@725628 We'd be happy to dig into what's causing the autocorrect issue that you're seeing. When you mention that it's happening on your Mac, is it happening when you type the letter i or are you just seeing the issue when viewing content that others have typed?",other_general
@115858 sucks! @AppleSupport u guys still haven’t fixed this issue??!,@623264 Hello. Please meet us in DM with the issue you’re experiencing. We’ll assist. https://t.co/GDrqU22YpT,other_general
"Wow I️ was at 100% at the start of the day and now my phones at 8%, wtf @115858",@713087 We'd be happy to look into this with you. Can you let us know which iPhone you're using and which version of the iOS you have installed? You can check by tapping Settings &gt; General &gt; About. Let us know in DM: https://t.co/GDrqU22YpT,device_troubleshooting
oh and now when I make a phone call I can’t hear anything. you guys gonna fix this or pay for my new phone? @AppleSupport @115858,@600194 Let's get these issues figured out. Send us a DM with your current iOS version and we'll go from there. https://t.co/GDrqU22YpT,other_general
"@115858 stay puttin out these weak ass updates, ever since I updated my phone this mf die on 20% whether I’m on it or not yall needa fix this",@524103 Let's see what's going on. What device are you experiencing this on? Reply in DM to get started. https://t.co/GDrqU22YpT,other_general
@361001 @115858 Minor update worth downloading. 📲 Still doesn’t improve battery life. 😕,@188231 That certainly doesn't look right. Let's work together in DM to find out what's going on with your battery. https://t.co/GDrqU22YpT,device_troubleshooting
@115858 @AppleSupport Why doesn’t the new command center WiFi symbol disable wifi? It goes blue to grey but just stays “no connected” help!,@539160 That's a great question. The way Wi-Fi and Bluetooth controls work in Control Center have change. https://t.co/G7BHuQnDS6,device_troubleshooting
"@115858 what is wrong with my keyboard? What are these question marks in squares, missing letters &amp; random punctuation?? #help",@628684 Here’s what you can do to work around the issue until it’s fixed in a future software update: https://t.co/xXaXeeSRt9,device_troubleshooting
"My iPhone 7 just lost 9% battery in 4 minutes while reading an article. #ios11 is a disaster, @115858! /cc @AppleSupport",@279196 We’d be glad to help. Can you start by letting us know more about the changes you’ve seen via DM? https://t.co/GDrqU22YpT,device_troubleshooting
@AppleSupport is this happening to anyone? Like the notification it’s out of setting https://t.co/J0Qbdc7Mz1,@819568 Thanks for reaching out to us. Let's work together to resolve this. We'll gather some details to help isolate the cause of this issue. Which iOS version do you have? When did this issue start?,other_general
"@1756 @115858 Mine is shite mate....crashing, turning itself off, apps randomly freezing, won’t let me call anyone @115858 @AppleSupport",@124304 We'd like to look into this with you. When did these issues begin? Tell us in a DM. https://t.co/GDrqU22YpT,device_troubleshooting
@766371 @AppleSupport I got the same shit :(,"@766370 We're here for you. Have you had a chance to back up your device and apply the latest update since noticing this issue while typing? If not, please take a few moments to follow the steps in this guide. We're here for you if you have any questions: https://t.co/ahjigcvFRG",other_general
Upgraded an office iMac to High Sierra and now it doesn’t wanna start. Force shut down and restarting doesn’t work. Can’t get any work done. @AppleSupport @11531,"@815854 We know how important it is to have your iMac up and running, and we're happy to help. What do you see on your screen when you force shut down and restart?",device_troubleshooting
Euh comment jfais pr repondre aux appels si ya aucun son depuis la mise à jour???@AppleSupport,@298759 We offer support via Twitter in English. Contact us for help in your preferred language here: https://t.co/IBIY3vMgPj,other_general
Thanks @115858 that update just wiped my whole music library 🙃 exactly what I needed this morning,@710402 We'll be happy to assist if you have any questions about getting full access to your music again. Send us a DM if you'd like to continue. https://t.co/GDrqU22YpT,other_general
"Also @115858 FIX THE ""I"" QUESTION MARK CRAP THIS IS RIDICULOUS",@526161 Here’s what you can do to work around the issue until it’s fixed in a future software update: https://t.co/uQeXsrrlXJ,other_general
"@AppleSupport @115858 help, after searching in settings cancel appears on top most of screen overlapping d batt time, icon not responsive https://t.co/jJbOjKDXiG",@478398 Let's get into this together. Please DM us. https://t.co/GDrqU22YpT,device_troubleshooting
"Every. Fucking. Time. 

@AppleSupport https://t.co/D4zLZrFIbG","@423111 Hey, we appreciate that video. To help us look into this, send us a DM and we'll go from there. https://t.co/GDrqU22YpT",other_general
So am I the only one having a volume vs ringer problem on iOS11? @AppleSupport,"@293262 Hi there. Please allow us to help out. Send us details about the issue in DM, we'll meet you there. https://t.co/GDrqU22YpT",other_general
Telefonum resmen Çin malından beter oldu şunu düzeltecek ya birSürüm yapın yada eski İos10’a geri dönmemize izin verin @AppleSupport @115858,@357250 We offer support via Twitter in English. Contact an Advisor for help in your preferred language here: https://t.co/IBIY3vMgPj,other_general
@AppleSupport 11.1.2,"@770594 Thank you for confirming that. You're only noticing this in the Alarm app, right? Watching videos and listening to music still work as expected?",other_general
@AppleSupport Is it possible to activate an iPhone X on a different # than what was entered on the preorder?,@476340  We've received your DM and will continue working with you there. Look for a reply from us shortly.,feature_howto
@AppleSupport We use Family Sharing. We use one Apple ID for all our iTunes purchases but each family member has an iCloud email address.,@235792 Let's take a look at one of your family members' iPhone in Settings &gt; Apple ID &gt; iTunes &amp; App Store. Make sure that person's Apple ID is signed in here as well as in iCloud.,account_access
now it’s stuck like think idk what to do help @115858 @AppleSupport https://t.co/fXlLO0EFf5,@222043 Thanks for reaching out.  We know how important it is for your iPhone X to work as expected and we'll do everything we can to assist.  Have you tried force restarting it? To do that follow the steps here: https://t.co/OWRDHWSt4h,device_troubleshooting
What’s up the with “I” on the iPhone?? @AppleSupport https://t.co/QqZw5jlZdh,@502719 Here’s what you can do to work around the issue until it’s fixed in a future software update: https://t.co/xXaXeeSRt9,other_general
@AppleSupport And want to report a lot of bugs,@229923 We’d like to look into this with you. Which iOS version are you running? This is available in Settings &gt; General &gt; About. Tell us that and more about what you've been experiencing on your iPhone in a DM. https://t.co/GDrqU22YpT,device_troubleshooting
@115858 seriously can Apple just sort out the Apple Music problem and ITunes problem? Driving me mad,@489846 We’d like to offer our support. Can you tell us a bit about what’s going on?,other_general
"For some reason, the @53333 app never actually finishes downloading unless I restart my phone. Only app that does this. cc: @115858 https://t.co/UOyHUJQqEb","@416394 We'd like to see if we can help with this. DM us the iOS version your iPhone is running, and we'll get started. https://t.co/GDrqU22YpT",device_troubleshooting
@115858 get a grip and make an update to fix this I️ I️ I️ I️ I️,@641944 Thank you for your patience and understanding. We've recently released an update that can help with these issues. Please create a backup and update. These steps will guide you: https://t.co/ahjigcvFRG,device_troubleshooting
Yo this update fucked my phone all the way up do better @115858 😒😒😒,@406904 We always want your update to go smoothly. Could you let us know a few of the specific issues you are having with iOS 11?,other_general
@AppleSupport Yes. After syncing I can see tracks in iTunes on my iPhone but can’t play it.,"@305612 Let's move over to DM, we'll look into other steps there. https://t.co/GDrqU22YpT",other_general
@AppleSupport After latest iOS update Spotify remains paused in my car. Unable to play. (Mercedes 2013),@172920 Hi there. Playing your music is very important. Are you able to play music from the native Music App on your car?,other_general
"Question-I updated to iOS 11.1 but why am I still not seeing the ""I""s? @AppleSupport","@739250 Let's help with that! Are you personally experiencing the autocorrect issue with the letter i when you type in messages or other apps? Or, are you seeing the letter i issue when you are reading messages from other people? Are you using iOS 11.1, or iOS 11.1.1?",other_general
"@AppleSupport This new iphone update doesn't work with the headphones controller. I can't play spotify, Instead it plays music library.","@548686 Thank you for reaching out to us. In DM, please let us know the exact version of iOS 11 you're using. https://t.co/GDrqU22YpT",device_troubleshooting
"@115858 sometimes when sending messages, I️ is changed to some funky format after the update. My friends too. Stop please.",@596142 Thanks for reaching out. We have a workaround for this here: https://t.co/xXaXeeSRt9 DM us if you still need help. https://t.co/GDrqU22YpT,device_troubleshooting
"@AppleSupport wtf? I created a repair order (A273997423) to get my iPhone battery replaced, but Apple received the product, deemed it ""couldn't duplicate issue"", and shipped it back to me. You should have replaced battery, or contacted me to find out what the issue was.",@258975 We want to help. Reach us via DM to continue. https://t.co/GDrqU22YpT,repair_order_status
"@AppleSupport Play counts and most recently played do not live update. I have iTunes 12.7 on High Sierra and iOS 11, latest build. De-authorizing and re-authorizing and restarting have not helped. Is this bug being worked? Other tips?",@502257 Do they update later or after quitting and starting iTunes again? Let us know in DM. We want to help. https://t.co/GDrqU22YpT,device_troubleshooting
@AppleSupport my se on 11.0.2 striggling to connect to bluetooth devices. Any problem?,@207941 Having Bluetooth working right is critical. What devices were you trying to connect to? We'll look into this with you.,device_troubleshooting
Thanks @115858 for the shittiest update ever. A one y.o. iPhone 7 shouldn’t freeze this much.,@604030 Let us help with your iPhone! Which version of iOS are you running on it currently? Let us know in DM to proceed. https://t.co/GDrqU22YpT,device_troubleshooting
"I can't install iOS 11 .1 Beta 5, all it says is ""Verifying update"" then it says error. Please help @AppleSupport",@123843 We're here for you. Check out this article for help with over-the-air updates: https://t.co/Ui1yTnOCUz,other_general
This message keeps coming up on my phone what does it mean??? @AppleSupport https://t.co/I6frDn0xCY,@356952 Thanks for reaching out to us about this! We'll be glad to look into this. Please send us a DM. https://t.co/GDrqU22YpT,other_general
@115858 on the phone to one of your advisors &amp; she was beyond rude then hung up on me🙃not impressed with that service at all.,"@660939 That’s not what we’d like to hear, can you start by letting us know more about what is going on via DM? https://t.co/GDrqU22YpT",other_general
@AppleSupport why do my contacts constantly appear and reappear? Kind of annoying. Pls fix it thanks 🙃,@490999 Hi there! Please send us a detailed explanation about what's going on in DM. https://t.co/GDrqU22YpT,other_general
@AppleSupport It updated after I did a hard reset,@212205 We're happy to hear that you were able to get your update installed. Let us know if we can be of any other assistance.,other_general
@AppleSupport My friend lost her phone. Can we find it somehow even if it's offline? We activated find iPhone already. Can you otherwise find the phone? Thanks für your quick response,"@331087 Thanks for contacting us. So we can help your friend with her lost iPhone, please have her contact us directly either here via Twitter, or by reaching out to our support team following this link: https://t.co/IBIY3vMgPj",other_general
"Latest #iPhone update has ruined my phone, thanks @115858",@715718 We'd be happy to help with your device. Meet us in DM with details of the issues you're having to get started. https://t.co/GDrqU22YpT,other_general
Why isn’t @197548 Red Barz not on apple music. @115858 fix this!,@197547 We've got a great site where you can make music requests. Head over to this site: https://t.co/vcSzj5tstI,other_general
@AppleSupport iPhone 7 iOS 11,@174248 Thanks. When did you first start noticing the battery issue you described? Let us know in DM. https://t.co/GDrqU22YpT,other_general
"@AppleSupport 7Plus 11.1.1 60% of the songs are not opening, whereas it works when I play on shuffle but not when I click that.","@680592 Thank you for that information. Can you tell us when you started having the issue? Have you tried any troubleshooting steps on your own? If you have, what were they? We would hate to have you repeat steps.",other_general
@AppleSupport  if i purchase a 2nd hand ipod classic 6 gen will it sync with the latest version of itunes?,@370845 We'd like to help. Everything with syncing should work as expected.,other_general
@115858 can u tell me how to fix I.T from auto populating every time I want to use “it” in a sentence? I.T just started after the 11.2 release,@239242 We certainly would like to look into this issue with you. Can you DM us? We will go from there. https://t.co/GDrqU22YpT,feature_howto
"@AppleSupport Not with specific apps, also just with swiping between screens. We did a lot, from rebooting to undoing the update and try again.",@436439 We'd like to get some additional info. Let's move to DM where we can dig a bit deeper.,device_troubleshooting
@AppleSupport Hey Apple lol still having the same issue 🙂🙃,@208635 Thanks for reaching back out. Let's continue in DM using the link below. https://t.co/GDrqU22YpT,other_general
@AppleSupport Iphone 7 📱,@374559 Are the screenshots captured so far of one particular app? Let us know in DM and we'll continue there. https://t.co/GDrqU22YpT,other_general
"@AppleSupport when I’m playing my music, a track keeps repeating rather than going to he next track. Only started doing it today,any clues to stop it ?. Thanks",@234009 Thanks for contacting us. We'd be happy to help in any way we can. Could you please tell us what device and app you're using?,other_general
@115858 Heartbroken 💔 Think I may have lost all the photos of my pregnancy and newborn baby girl. Surely there is something that can be done!,@502817 We're sorry to hear that. Let us help you sort this out. Join us in DM so we can better assist you: https://t.co/GDrqU22YpT,other_general
@AppleSupport Outlook on Apple Watch S3 continues just to say Loading when launching. Uninstalled/Reinstalled. Also talked 2 Microsoft. Help,@422452 Thanks for reaching out. We're here to help. DM us so we can look into this further with you. https://t.co/GDrqU22YpT,other_general
@176071 @AppleSupport After dowloading High Sierra on a MacAir a “?” sign appears on the screen and it is dead. Please help,"@542861 We want to help with your MacBook Air. To verify, did the installation of High Sierra complete without issues and was the question mark flashing? 

If so, take a look at this article to help you boot into Recovery and resolve the issue: https://t.co/lTCirYxzVg",device_troubleshooting
@115858 so when are ya gonna fix this I️ thing?!,"@138437 We recently released an iOS update, 11.1.1, that contains a fix for autocorrect issues. Let’s be sure to back up your device prior to updating. How to back up: https://t.co/4f8hwT5to6",device_troubleshooting
Can @115858 just get your shit together and fix the new updates?#iphone keeps fucking up...I had never had this many issues before #iOS11,"@495817 We want to make sure your iPhone is working great and you enjoy the new feature iOS 11 offers. Please DM us your model iPhone, the iOS 11 version installed and details of the issue you're experiencing and we'll help sort things out. https://t.co/GDrqU22YpT",other_general
"O sea @116333 que aunque no esté usando firmware beta, si no borro el profile de 'iOS beta', no puedo actualizar a iOS 11.0.3. Bien ahi.",@247068 We offer support via Twitter in English. Get help in Spanish here: https://t.co/IBIY3vMgPj or join https://t.co/OczyRx7IOs,other_general
@AppleSupport  ios 11.1  slowing and freezing my iphone 7. fix that shit!!!,"@498844 Hi there. We'd love to help out. Please meet us in DM, we'll continue there. Thank you. https://t.co/GDrqU22YpT",device_troubleshooting
@115858 update totally fucked my iPhone6. Knew I shouldn’t have done it. It’s what 🍎 want so u have to upgrade. Well I doubt I’ll buy 🍎 again,@488034 We'd like to look into the issue you're having. DM us and tell us more about what's happening. https://t.co/GDrqU22YpT,other_general
@AppleSupport No it was a near new device. Only a couple months old when it bricked.,"@349546 What in specific is happening with your iPhone? When connected to iTunes on a computer, is it detected? Let us know by DM. https://t.co/GDrqU22YpT",other_general
"@AppleSupport hi, why cant i add my debit card to my apple id as it always appears “please contact iTunes support to complete this transaction.” Please help","@686132 Thanks for reaching out to us today. We received your DM, and we'll follow up there to see how we can help. Be on the lookout for a response shortly. https://t.co/GDrqU22YpT",account_access
"@AppleSupport My phone keeps glitching... like, a lot. 🙃",@409456 We can definitely look into this with you. Does this happen when you're using any particular apps?,device_troubleshooting
@AppleSupport how on earth did you fuck up the iPod app as bad as you did?,@713124 We want to help. Would you tell us more about what's happening?,other_general
"Hey guys, hey @115858, I just blew $35 on this 2 m charging cord. Last week. This is the third time. If you are going to charge me $35 plus shipping for a charger for my $1,000 phone, can you maybe. Not. Produce. Garbage. So I can continue to be a dedicated customer maybe? 🙄",@698213 We'd like to know more to assist. Is there any damage present on the cord at this time? Let us know in a DM and we'll take a look at your options. https://t.co/GDrqU22YpT,billing_subscription
"@AppleSupport Hi, my phone keeps changing I️ to those emojis every time and I️ don’t know why. It’s happening to some of my friends to. What is wrong?",@669665 We'd like to help. Let's take this to DM and we'll explore ways to provide you assistance. https://t.co/GDrqU22YpT,device_troubleshooting
@AppleSupport los voy a demandar si no reviven mi iphone.,@200734 We offer support via Twitter in English. Get help in Spanish here: https://t.co/IBIY3vMgPj or join https://t.co/OczyRx7IOs,other_general
"Hey @115858 I downloaded the new iOS update to get rid of your faulty glitches and now my phone is running even slower than before, if that was even possible. NOTHING LOADS. #ExpensivePaperweight","@648634 That certainly isn't any way to enjoy your iPhone, but we’re here and can help! Let’s first get some info about your device. Which iPhone do you have &amp; what version of iOS is currently installed?",device_troubleshooting
@AppleSupport I have iOS 11.1.1. My battery is dying at a rapid pace. I have changed all the settings that I know. Can you help me?,"@666425 Of course, we'd be happy to help. Meet us in DM so that we get started by gathering more information. https://t.co/GDrqU22YpT",device_troubleshooting
@AppleSupport advice what to do? #iphone8 https://t.co/XnsYILh2Xe,@311217 We'd like to help. Restart your iPhone and DM us which iOS version you have if the issue continues. https://t.co/GDrqU22YpT,other_general
@AppleSupport what’s up with the letter “eye” on the latest update? Please fix it.,@595632 Thanks for reaching out. We have a workaround for this here: https://t.co/xXaXeeSRt9 DM us if you still need help. https://t.co/GDrqU22YpT,other_general
Lol and @115858 said there wasn’t anything wrong and they wouldn’t do anything https://t.co/hHaIJqS7hh,"@739017 We'd like to look into this with you. Send us a DM with more information, and we'll continue from there. https://t.co/GDrqU22YpT",other_general
@AppleSupport still no answer as to why the latest update isn’t working or when it will be fixed. #appleslafail,"@377135 We want your iPhone to be working as expected. Send us a DM with details, and we'll start there. https://t.co/GDrqU22YpT",other_general
Yo @115858 your latest update is killing my battery... was working great with previous IOS,@127032 We'd like to look into this. DM us and we'll work from there. https://t.co/GDrqU22YpT,device_troubleshooting
"My SE battery life has gone to pot, please fix, will not stay charged! @applesupport 11.0.3 battery",@550488 We want you to get the most out of your iPhone's battery life. We can help! Send us a DM and we'll look into this with you. https://t.co/GDrqU22YpT,billing_subscription
@AppleSupport yes it does,"@502580 That's great! What we are looking at is strictly FaceTime; not the camera. DM your iOS version, and we'll meet you there! https://t.co/GDrqU22YpT",other_general
"@AppleSupport um, my App Store is stuck on the loading screen. Help me. Now.",@412879 We'd be happy to help the best we can. Let's meet in DM. https://t.co/GDrqU22YpT,device_troubleshooting
@AppleSupport Apple Store orders down,@667593 Send us a DM and let us know a little more about what you're seeing. We'll help. https://t.co/GDrqU22YpT,repair_order_status
@AppleSupport good,@701055 If you'd like to walk through troubleshooting steps to work towards a resolution. Let us know in a DM what iOS version is running on the device and we'll start from there.,other_general
@AppleSupport @11676 @115858 @115858 Really unhappy and disgusted with the customer service #applecheats,@607634 This isn't the experience we want you to have. Send us a DM and let us know what's happening. We'll take it from there. https://t.co/GDrqU22YpT,other_general
"@AppleSupport It’s hanging a lot after new updates, will visit the service centre n fix the issue. 👍🏻",@360224 We may be able to help you right here and save you a trip! Let us know in DM if you'd prefer that and we'll get started. https://t.co/GDrqU22YpT,device_troubleshooting
@AppleSupport I am currently in Malaysia. I have also spoken to @118101 and the billing issue is with Apple. Thanks,@444543 Thank you. Use this link to reach out to our iTunes support team in your region: https://t.co/6uGmBgCdlY,other_general
Imma need @115858 to fix this “I️” turns into a question mark in a box mess. 😡,"@466534 We're happy to help out. Try the following steps and then restart afterward: https://t.co/uQeXsrrlXJ
DM your results: https://t.co/GDrqU22YpT",device_troubleshooting
@AppleSupport Hiya! My keyboard is wireless and I can't launch the recovery assistant when restarting my Mac Mini. Is there any way I can do it without pressing command+R on the loading screen?,"@775367 That's a great question, to boot your Mac Mini in to recovery mode you'll need a wired keyboard. For information on startup key combinations, check this out: https://t.co/hYCrHTAsTM",device_troubleshooting
"@AppleSupport I’ve reset my password using my Apple ID three times, but I can’t get into my Mac.  What should I do next?",@365412 We certainly want you to be able to have access to your Mac. What are you seeing happen when you are trying to log into your Mac? Join us in DM and we'll continue there. https://t.co/GDrqU22YpT,account_access
"Thanks @AppleSupport, my iPad lost thousands and thousands of my 50,000 + pictures after the update...",@184890 We want to help you find your photos! What version iOS do you have? Let us know in DM. https://t.co/GDrqU22YpT,other_general
@AppleSupport Located in the good old US of A https://t.co/3zTTOdUVtO,@371742 DM us using this link: https://t.co/GDrqU22YpT,other_general
@AppleSupport I've updated my phone and its starting to lag. not to mention it drains my battery,@157890 Let's take this conversation to DM.  Which country are you located in? https://t.co/GDrqU22YpT,device_troubleshooting
Seems @AppleSupport is changing my settings for me as it is downloading things without me knowing it. Not a fan of this,@612930 Let's talk. We'd like to work together to make your iPhone match your preferences. Please send us a DM and let us know a bit more detail about what's happening. https://t.co/GDrqU22YpT,device_troubleshooting
@AppleSupport FIX YOUR STUPID ASS SOFTWARE THAT HAS BEEN ABSOLUTE TRASH SINCE YOU RELEASED IOS 11. FYI the “I️” IS A ! AND A MYSTERY BOX,@459897 Let's look into this. DM us what version of iOS 11 you're running to continue. https://t.co/GDrqU22YpT,device_troubleshooting
@AppleSupport yall need to fix this update bc my music randomly pauses and it skips my music.Please fix this🤬,@513888 Let us help with your music.  Send us a DM so we can take a closer look. https://t.co/GDrqU22YpT,other_general
@AppleSupport Thanks! This was really helpful.,@410112 Great! Let us know if we can be of further help. Take care.,other_general
"@AppleSupport Is there any way to put them back in order, they’ve come through onto my new phone but not in the right order??",@195064 Great question! Our Application Support team is ready to help you out. Reach them here: https://t.co/IBIY3vMgPj,feature_howto
@AppleSupport @115858 the new 11.0.3 update makes whatsapp crash a lot. Other apps are affected similarly. Sort it out,@352853 We're here for you. Reach out via DM using the link below. https://t.co/GDrqU22YpT,device_troubleshooting
@AppleSupport This is what I’m dealing with https://t.co/qUjDkCGWSO,@612903 That's unusual for the volume to be self adjusting. Let's look into this and see what's going on. Do you have any kind of case on the iPhone that could be triggering those side volume buttons?,other_general
@AppleSupport why on my Mac when I delete 80GB of photos does it not reflect in my available storage? Shows under photos but photos app is empty,@726732 We recommend that you restart your Mac and then check your storage space again to see if it's now reflecting for you.,other_general
@115858 I have to reboot the phone about 3-4 times a day. This update has virtually rendered my handset useless.,@458827 We want you to love iOS 11 as much as we do. Let us know in DM which apps are becoming unresponsive. We’ll do everything to help. https://t.co/GDrqU22YpT,device_troubleshooting
@AppleSupport Yes I am!,@355327 Have you had a chance to try a different charger?  Let us know in DM. https://t.co/GDrqU22YpT,other_general
@AppleSupport It didn’t work. My friend took it to apple dealer and couldn’t do it because he has forgotten his icloud email address. Can you help on how to get the icloud email address?,@641430 Try here to recover the iCloud email address: https://t.co/PyfGU4NaiE,account_access
@115850 @AppleSupport why I can’t purchase any item from amazon from my mobile https://t.co/hdFw758WFJ,@578552 We'd like to look into this with you. Please DM and let us know if this also happen when connected to Wi-Fi? https://t.co/GDrqU22YpT,other_general
"@AppleSupport It didn’t do anything! What now? Are you guys gonna fix it? Get someone to work overnight to fix it, you definitely have he payroll.",@511227 Let's look into this further with you. Send us a DM by clicking on the link below. We'll continue there. https://t.co/GDrqU22YpT,other_general
Dear Apple...... FIX THIS!!! I️ I️ I️ I️ @AppleSupport THANKS!,@668388 Let's work together to get this sorted out. Which iOS version is running on your device? Tap on Settings &gt; General &gt; About to find out. You'll see it listed next to 'Version' on that screen.,device_troubleshooting
@115858 this new iPhone update has my phone all fucked up. I can’t hear calls and shit.,@547740 You're in the right place for help. Select the following link to join us in a DM and let us know the exact iOS version number. https://t.co/GDrqU22YpT,other_general
@115858 @AppleSupport FIX THIS I️ PLEASE,"@278587 We recently released an iOS update, 11.1.1, that contains a fix for autocorrect issues. Let’s be sure to back up your device prior to updating. How to back up: https://t.co/4f8hwT5to6",device_troubleshooting
@AppleSupport @115948 @115858 ooooor at least if one is playing music downloaded there wont be an interruption for either #ThinkAboutIt,@407239 Hi there. An Apple Music Family Membership is for up to six family members. Read all about it here: https://t.co/PhaRpgaf1N,other_general
"Thanks @115858 for ruining podcasts, this app is unusable after update! @318",@275095 We're here to help. What issues are you experiencing with the Podcasts app?,other_general
