tweet_id,text,pretag,intent,gold_reply_summary,should_escalate,escalation_reason,verified
2619876,"@AppleSupport after 11.1.1 Siri fails to send messages with ‘uh oh, something’s wrong..’ Known bug? Tried restarting etc, persists.",question,device_troubleshooting,Must acknowledge the specific symptom and give a concrete first troubleshooting step (not a generic 'sorry to hear that'),False,,True
2729129,Hey @115858 @AppleSupport updated my phone last night n its been stuck on the loading bar screen for 15 hours any tips before I go scream down the apple store xxx love,other,device_troubleshooting,Must acknowledge the specific symptom and give a concrete first troubleshooting step (not a generic 'sorry to hear that'),False,,True
1636193,"@AppleSupport 
Whhhyyyy??????? https://t.co/7SLZ7ZUtTR",short,other_general,"Must acknowledge the tweet's actual content, not a fully generic reply",False,,True
1852139,Update: @115858 staff and @AppleSupport say the the crappy iOS update is what it is and they can’t fix my phone and won’t replace it,other,complaint_escalation,"Must acknowledge the tweet's actual content, not a fully generic reply",True,already told by staff issue won't be fixed/replaced -- unresolved dispute,True
2488775,The new iPhone update is garbage my phone is super slow and all the apps crash.... kinda bs this happened right after the new iPhone came out... time to switch brands I think. @118936 @115858 @AppleSupport,other,complaint_escalation,Must acknowledge the specific symptom and give a concrete first troubleshooting step (not a generic 'sorry to hear that'),True,explicit churn threat ('time to switch brands'),True
1052468,Quand @AppleSupport bug en bêta sous ios11 😂 #calcul #mathsup #oklm #apple #iphone https://t.co/HfYa26oBv8,other,device_troubleshooting,Must acknowledge the specific symptom and give a concrete first troubleshooting step (not a generic 'sorry to hear that'),False,,True
1872079,"@AppleSupport ordered full price iPhone, express overnight. Fedex lost. your people tell me 4 days to resolve. need it tomorrow!!! android?",angry,repair_order_status,"Must ask for the order/repair confirmation number and acknowledge any stated delay, not offer unrelated troubleshooting",True,fedex lost,True
2230659,"@AppleSupport 
In song view, I accidentally unchecked most songs. Then in album view or playlist view, I could play one song only.",other,feature_howto,"Must acknowledge the tweet's actual content, not a fully generic reply",False,,True
2083315,@AppleSupport My iphone 6s’ battery dies sooner than before &amp; it hangs &amp;apps crash after I updated to ios11. Updated to ios 11.2. No relief😔,other,device_troubleshooting,Must acknowledge the specific symptom and give a concrete first troubleshooting step (not a generic 'sorry to hear that'),False,,True
1942463,@AppleSupport upgrade is horrible! Phone is now inoperable unless connected to WiFi. Battery life is about 4 hours.,other,device_troubleshooting,Must acknowledge the specific symptom and give a concrete first troubleshooting step (not a generic 'sorry to hear that'),False,,True
1467824,@AppleSupport why is my iPhone 8 Siri having so much trouble listening to me? Tried setting it up like 6 times just now and doesn’t respond.,question,device_troubleshooting,"Must acknowledge the tweet's actual content, not a fully generic reply",False,,True
2773212,"@AppleSupport Hi, I've had my MBP (with TB) crash on me three times now since updating to High Sierra. Twice after disconnecting from an external display, once after putting it to sleep for 8 hours. MCA error recognized twice. What to do?",question,device_troubleshooting,Must acknowledge the specific symptom and give a concrete first troubleshooting step (not a generic 'sorry to hear that'),False,,True
1757934,Yo seriously wth is with these stupid boxes with the question marks in them!? @AppleSupport,question,device_troubleshooting,"Must acknowledge the tweet's actual content, not a fully generic reply",False,,True
522996,"@AppleSupport Hello there! My phone always crashed in any apps after few seconds and I can’t use it! Crashed means the screen becomes black and there’s only spinner loading at the center, then the phone goes to “enter touch id or pin”. What happened?!!",angry,device_troubleshooting,Must acknowledge the specific symptom and give a concrete first troubleshooting step (not a generic 'sorry to hear that'),False,,True
549628,Hello @AppleSupport . My iPhone 7 keeps restarting every minute. Can you help on this please? My current software version is 11.1.2. The screenshot below https://t.co/fEw1UVbrzL,question,device_troubleshooting,Must acknowledge the specific symptom and give a concrete first troubleshooting step (not a generic 'sorry to hear that'),False,,True
752413,Anyone else having the wrong album artwork showing on #ios11? The artwork is fine in iTunes @AppleSupport #iphone8,question,device_troubleshooting,"Must acknowledge the tweet's actual content, not a fully generic reply",False,,True
1497344,Why can’t @AppleSupport answer my question? Transferred left and right but get the same spiel.,question,complaint_escalation,"Must acknowledge the tweet's actual content, not a fully generic reply",True,"repeated transfers, unresolved, same generic response each time",True
2497927,the lock screen and notification center show noththing. @AppleSupport fix this shit. #dontdownloadios11,other,device_troubleshooting,Must acknowledge the specific symptom and give a concrete first troubleshooting step (not a generic 'sorry to hear that'),False,,True
1881977,@AppleSupport Highlights made in purchased book in iBooks on #iPadPro w/ #iOS11 are not syncing to 5k  27” #iMac w/ #HighSierra. Any tips?,question,feature_howto,Must correctly answer the specific product question asked,False,,True
435836,@AppleSupport is there any chance I can share all pictures of a person with my wife?  I’d like all pics of my son to go to her account.,question,feature_howto,Must correctly answer the specific product question asked,False,,True
1758802,@AppleSupport Please provide feature to DISABLE Memories/People. I DO NOT want you scanning my photos! Give us the option!,other,other_general,"Must acknowledge the tweet's actual content, not a fully generic reply",False,,True
834503,my phone always freezing @AppleSupport get y’all shit togeva,other,device_troubleshooting,Must acknowledge the specific symptom and give a concrete first troubleshooting step (not a generic 'sorry to hear that'),False,,True
1101970,@115858 @AppleSupport Start explaining this math https://t.co/Ng4MYjDRMm,other,other_general,"Must acknowledge the tweet's actual content, not a fully generic reply",False,,True
1099273,"@AppleSupport hey guys the mix new music disappeared why? iOS 11.0.3 and Mac with High Sierra, last version of iTunes. @115948",question,device_troubleshooting,Must acknowledge the specific symptom and give a concrete first troubleshooting step (not a generic 'sorry to hear that'),False,,True
1612701,".@AppleSupport I need help, I disconnected my ID from my iPhone and I am no longer able to connect again because the ""Two Factor Authentication"" option was enabled and saved on my old cell number",other,account_access,"Must direct to the correct Apple ID/iCloud recovery or 2FA path, not a generic password reset",False,,True
307228,@AppleSupport why does my WiFi keep turning itself on? I’ve turned it off at least 4 times today,question,device_troubleshooting,Must acknowledge the specific symptom and give a concrete first troubleshooting step (not a generic 'sorry to hear that'),False,,True
332827,"@AppleSupport #ios11 disconects all the time from bluetooth devices, is the phone not the devices, please solve it",other,device_troubleshooting,Must acknowledge the specific symptom and give a concrete first troubleshooting step (not a generic 'sorry to hear that'),False,,True
1785468,"@115858 
To send SMS through Contacts in IOS 11.0 and newer updates not possible. Messages has to open first, looks a bug! 

@AppleSupport",other,device_troubleshooting,Must acknowledge the specific symptom and give a concrete first troubleshooting step (not a generic 'sorry to hear that'),False,,True
2356489,Hoping @917 and @AppleSupport can figure out this new freezing-for-everything situation since the iOS 11 update 😒,other,device_troubleshooting,Must acknowledge the specific symptom and give a concrete first troubleshooting step (not a generic 'sorry to hear that'),False,,True
740590,Seriously @AppleSupport what the hell is wrong with #iOS11 &amp; my #iphone6s ?? My battery just gets worst &amp; worst everyday!! #Notcool,angry,device_troubleshooting,Must acknowledge the specific symptom and give a concrete first troubleshooting step (not a generic 'sorry to hear that'),True,worst,True
1482393,Am I the only one who can’t get the @136756 app on the #AppleTV to work? It just keeps saying “Oops something went wrong try again”. Any fixes to this? @AppleSupport,question,device_troubleshooting,"Must acknowledge the tweet's actual content, not a fully generic reply",False,,True
1474707,"über Akku performance müssen wir dringend reden, still catastrophy  @AppleSupport @462345 #iphone6splus iOS 11.2 Beta 1 viel schneller",other,device_troubleshooting,"Must acknowledge the tweet's actual content, not a fully generic reply",False,,True
1448096,Hello @AppleSupport. How do I fix - “There was an error connecting to the Apple ID server” when signing into @118721 ?,question,account_access,"Must direct to the correct Apple ID/iCloud recovery or 2FA path, not a generic password reset",False,,True
1588147,Hey @AppleSupport can you fix the update where my I️ key doesn’t work 95% of the time,other,device_troubleshooting,Must acknowledge the specific symptom and give a concrete first troubleshooting step (not a generic 'sorry to hear that'),False,,True
1480725,@AppleSupport my phones been super laggy and occasionally freezes on my 6s with iOS11. I’m about to be done with it,other,device_troubleshooting,Must acknowledge the specific symptom and give a concrete first troubleshooting step (not a generic 'sorry to hear that'),False,,True
2048642,So glad I sent my macbook to go get fixed just so it would come back and stop working a week later🙄 @AppleSupport,other,repair_order_status,"Must ask for the order/repair confirmation number and acknowledge any stated delay, not offer unrelated troubleshooting",True,repair returned still broken a week later,True
2748389,@AppleSupport still waiting for my DM to be answered 7 days later,other,repair_order_status,"Must ask for the order/repair confirmation number and acknowledge any stated delay, not offer unrelated troubleshooting",True,days later; still waiting,True
2069701,"@AppleSupport why does the now iOS 11 drain our battery, can we go back to iOS 10?",question,device_troubleshooting,Must acknowledge the specific symptom and give a concrete first troubleshooting step (not a generic 'sorry to hear that'),False,,True
2502035,"@AppleSupport we're having issues with any iPad running 10.3.3 will not install apps via our MDM @96985 tech support says it's an issue with your servers, do you know of a solution?",angry,device_troubleshooting,"Must acknowledge the tweet's actual content, not a fully generic reply",True,"enterprise MDM/server-side issue flagged by third-party tech support, needs investigation",True
1575032,Getting sick of this @AppleSupport @191435 https://t.co/pEsZjOH4bs,other,other_general,"Must acknowledge the tweet's actual content, not a fully generic reply",False,,True
621812,@AppleSupport iPhone 8 Plus upgraded to iOS 11.0.2 and now phone refuses to sound any tones or vibrations whatsoever for incoming texts.,other,device_troubleshooting,Must acknowledge the specific symptom and give a concrete first troubleshooting step (not a generic 'sorry to hear that'),False,,True
1203524,@AppleSupport Why is ios11.03 draining my battery on 7plus within half a day!! This is ridiculous,angry,device_troubleshooting,Must acknowledge the specific symptom and give a concrete first troubleshooting step (not a generic 'sorry to hear that'),False,,True
2689546,.@188 and @126972 apps deleted. I will use the mobile version of each one. My iPhone battery life is draining so fast. #iOS11 cc @115858 @AppleSupport,other,device_troubleshooting,Must acknowledge the specific symptom and give a concrete first troubleshooting step (not a generic 'sorry to hear that'),False,,True
1298522,@AppleSupport fix your buggy software. Constantly unusable WiFi sitting in the same room as router and loading wheel keeps spinning.,other,device_troubleshooting,Must acknowledge the specific symptom and give a concrete first troubleshooting step (not a generic 'sorry to hear that'),False,,True
1297963,@AppleSupport What is MacKeeper? All of a sudden today I got a message to fix my laptop. Then someone started a convo with me? I'm so lost.,question,other_general,Must correctly answer the specific product question asked,True,possible scam/security concern (unsolicited 'fix your laptop' contact) -- needs human review before responding,True
2035058,"@applesupport This latest upgrade has wreaked havoc on my phone. It won't even turn on now, even after charging it all night 😩",other,device_troubleshooting,"Must acknowledge the tweet's actual content, not a fully generic reply",False,,True
1905787,"@AppleSupport my printer is printing tiny images in the corner of the page since I changed to ISO11
Please help 
Desperate",other,device_troubleshooting,Must acknowledge the specific symptom and give a concrete first troubleshooting step (not a generic 'sorry to hear that'),True,desperate,True
36028,@AppleSupport Trying to access iTunes Connect and keep getting this when I click on artists. On two different computers (both IE and Chrome) https://t.co/SLcNN0jSkW,other,account_access,"Must acknowledge the tweet's actual content, not a fully generic reply",False,,True
541204,"Hi @AppleSupport , my iphone 7 plus keep restarting every minutes. I'm using ios 11.1.2, solutions needed ASAP!",other,device_troubleshooting,Must acknowledge the specific symptom and give a concrete first troubleshooting step (not a generic 'sorry to hear that'),False,"escalate normalized to False for consistency with 549628 -- same restart-loop pattern, standard troubleshooting path applies first",True
2703248,@AppleSupport does the 10.5 iPad Pro come with low battery support function like it has on the iphones?,question,device_troubleshooting,Must acknowledge the specific symptom and give a concrete first troubleshooting step (not a generic 'sorry to hear that'),False,,False
552090,"@AppleSupport , I have an iPhone 7, just did the update and now my phone keeps shutting off and re-booting itself every time I try to read or do anything on my phone ! Frustrating just started this morning any suggestions ! FYI my son having same issue both of us on a 7",angry,device_troubleshooting,Must acknowledge the specific symptom and give a concrete first troubleshooting step (not a generic 'sorry to hear that'),True,sue,False
1583036,@AppleSupport you’ve spent years getting me to the point I️ can’t type without autocorrect. Now I️ can’t type with autocorrect. Fix this bug,other,device_troubleshooting,Must acknowledge the specific symptom and give a concrete first troubleshooting step (not a generic 'sorry to hear that'),False,,False
2093684,This is really starting to piss me off. I’m literally connected to WiFi @AppleSupport https://t.co/BMqQOyfvlB,other,device_troubleshooting,Must acknowledge the specific symptom and give a concrete first troubleshooting step (not a generic 'sorry to hear that'),False,,False
1633057,Hey @AppleSupport I’m having the same problem. Update the OS with a bug fix? https://t.co/sHbhTmjW8S,question,device_troubleshooting,Must acknowledge the specific symptom and give a concrete first troubleshooting step (not a generic 'sorry to hear that'),False,,False
2008434,@AppleSupport DPMO!!!! 😡 https://t.co/YZS5hydZcJ,angry,other_general,"Must acknowledge the tweet's actual content, not a fully generic reply",False,,False
1950735,I really wish I hadn’t updated my phone to iOS 11. @AppleSupport are you aware of the constant crashing &amp; freezing? Can you tell Tim Cook?,question,device_troubleshooting,Must acknowledge the specific symptom and give a concrete first troubleshooting step (not a generic 'sorry to hear that'),False,,False
2152086,@AppleSupport can you guys fix the music memos app? unresponsive since the last iOS update. ok thx :*,question,device_troubleshooting,Must acknowledge the specific symptom and give a concrete first troubleshooting step (not a generic 'sorry to hear that'),False,,False
456115,@AppleSupport is the share menu supposed to do this? https://t.co/mMZocotgVR,question,feature_howto,Must correctly answer the specific product question asked,False,,False
2698054,@AppleSupport what’s the correct way to file a report about this (persistent) bug in MacOS? https://t.co/aeBZdk2vMW,question,device_troubleshooting,Must acknowledge the specific symptom and give a concrete first troubleshooting step (not a generic 'sorry to hear that'),False,,False
518346,"@AppleSupport so when trying to use your first generation iPad mini iOS 9.3.5 why can't you download apps that are from that time, also why does it make your apps crash I ain't buying a new iPad just because you take all the old stuff away",other,device_troubleshooting,Must acknowledge the specific symptom and give a concrete first troubleshooting step (not a generic 'sorry to hear that'),False,,False
2072056,@AppleSupport if you buy a iPhone in the USA is the warranty still valid in the U.K.,other,feature_howto,Must correctly answer the specific product question asked,False,,False
27511,@AppleSupport please tell why my new iPhone 8 keeps telling me that iMessage is waiting for activation,other,device_troubleshooting,Must acknowledge the specific symptom and give a concrete first troubleshooting step (not a generic 'sorry to hear that'),False,,False
600427,@AppleSupport i got a problem with my face id. May i direct message you to describe my problem,other,device_troubleshooting,Must acknowledge the specific symptom and give a concrete first troubleshooting step (not a generic 'sorry to hear that'),False,,False
1748051,"Hey @AppleSupport, I turned on optimize space for my photos, if I send a photos to friends, will they still get the full-resolution photo?",question,feature_howto,Must correctly answer the specific product question asked,False,,False
1795055,"@AppleSupport @115858 You have worst iCare service center called Ample Technologies in Bengaluru,India.There is no communication or updation",angry,other_general,"Must acknowledge the tweet's actual content, not a fully generic reply",True,worst,False
2773248,"@AppleSupport Unable to update Apple ID. It says ""Your Apple ID cannot be updated at this time. Please try again later."" See more details about my issue at https://t.co/OQSjN0MoIb",angry,account_access,"Must direct to the correct Apple ID/iCloud recovery or 2FA path, not a generic password reset",True,sue,False
1936949,@AppleSupport and the flash even I turned it off already. I keep on manually turning it off everytime I use the camera. IOS 11.0.3 #iphone7,other,device_troubleshooting,Must acknowledge the specific symptom and give a concrete first troubleshooting step (not a generic 'sorry to hear that'),False,,False
1982666,Why is I️ auto correcting to this? @115858 @AppleSupport https://t.co/T7toGYS2t7,question,device_troubleshooting,Must acknowledge the specific symptom and give a concrete first troubleshooting step (not a generic 'sorry to hear that'),False,,False
1773725,My iPhone X dies fast and has glitches. It also froze today 3 times @AppleSupport 🙁,other,device_troubleshooting,Must acknowledge the specific symptom and give a concrete first troubleshooting step (not a generic 'sorry to hear that'),False,,True
1767431,@AppleSupport the capital “I️” bullshit is ridiculous.,angry,device_troubleshooting,Must acknowledge the specific symptom and give a concrete first troubleshooting step (not a generic 'sorry to hear that'),False,,False
2585760,So sick of my phone crashing constantly since the new update. Sort it out 😤😤  @AppleSupport,other,device_troubleshooting,Must acknowledge the specific symptom and give a concrete first troubleshooting step (not a generic 'sorry to hear that'),False,,False
1297514,What’s a number I can call @AppleSupport my music not working,other,device_troubleshooting,Must acknowledge the specific symptom and give a concrete first troubleshooting step (not a generic 'sorry to hear that'),False,,False
588188,"Hey, @115858! How about releasing an update that DOESN’T kill your battery. My 6 has a ton of great features, and they’re all turned off to save battery life. I lost a percent every 15 seconds this morning CHECKING MY EMAIL! @AppleSupport",other,device_troubleshooting,Must acknowledge the specific symptom and give a concrete first troubleshooting step (not a generic 'sorry to hear that'),False,,False
2618416,@AppleSupport my music has disappeared from Apple Music all my downloads albums and my own playlist are gone,other,device_troubleshooting,Must acknowledge the specific symptom and give a concrete first troubleshooting step (not a generic 'sorry to hear that'),False,,False
248739,Why does my phone keep automatically turning on WiFi and Bluetooth even when I manually turn them off 😤 @AppleSupport,other,device_troubleshooting,Must acknowledge the specific symptom and give a concrete first troubleshooting step (not a generic 'sorry to hear that'),False,,False
1444472,@AppleSupport iOS 11 killed my iPad battery life and 11.1 hasn't fixed the issue at all. Tried everything. Any help would be appreciated.,angry,device_troubleshooting,Must acknowledge the specific symptom and give a concrete first troubleshooting step (not a generic 'sorry to hear that'),True,sue,False
2003380,This update got my phone going ape shit @AppleSupport,other,other_general,"Must acknowledge the tweet's actual content, not a fully generic reply",False,,False
51650,HOW DO I️ FIX THIS SOMEONE HELP @AppleSupport https://t.co/oNbzVJsSdw,other,device_troubleshooting,Must acknowledge the specific symptom and give a concrete first troubleshooting step (not a generic 'sorry to hear that'),False,,False
701631,"@AppleSupport hi, I updated to 11.1 2 and now videos won’t play in any of my apps. YouTube, Twitter, facebook, instagram. Nada. 😐",other,other_general,"Must acknowledge the tweet's actual content, not a fully generic reply",False,,False
2569230,@AppleSupport whay can't I view/type in landscape on my iphone 6s v 11.0.3? This is annoying and makes it impossible to comment quickly.,question,device_troubleshooting,"Must acknowledge the tweet's actual content, not a fully generic reply",False,,True
2622713,Hi @AppleSupport how do I find photos with unknown faces in High Sierra Photos?,question,feature_howto,Must correctly answer the specific product question asked,False,,False
996615,"I already had reputation on my phone, but I updated my ios and it disappeared and now this happens when I try to redownload the new songs @AppleSupport https://t.co/VBbXK9LJjA",other,device_troubleshooting,Must acknowledge the specific symptom and give a concrete first troubleshooting step (not a generic 'sorry to hear that'),False,,False
2139840,@AppleSupport DO AN UPDATE. This is annoying. https://t.co/JK5vMV1MH6,other,other_general,"Must acknowledge the tweet's actual content, not a fully generic reply",False,,False
926403,"@AppleSupport How can I switch me to be the ""organizer?"" I just switched to @115948 family plan and would like to add Casey. https://t.co/aS1Tz45O2b",question,feature_howto,Must correctly answer the specific product question asked,False,,False
1586237,"@AppleSupport Why was the iPhone X available to pick up in store but once I complete the process I get an ""unable to complete""! 3 Times! 1",other,repair_order_status,"Must ask for the order/repair confirmation number and acknowledge any stated delay, not offer unrelated troubleshooting",False,,False
245263,@AppleSupport why have you broken my iPhone #ios1101 everything is sooooooo #slow,other,device_troubleshooting,Must acknowledge the specific symptom and give a concrete first troubleshooting step (not a generic 'sorry to hear that'),False,,False
245315,@AppleSupport will you fix this with the 11.0.2 versión? @115858 @119459 https://t.co/yfVz0Effqi,question,other_general,"Must acknowledge the tweet's actual content, not a fully generic reply",False,,False
616278,"@AppleSupport #ios11 👎🏻👎🏻👎🏻
è uno schifo: consuma una valanga di batteria ed è instabile!!",angry,device_troubleshooting,"Must acknowledge the tweet's actual content, not a fully generic reply",False,,True
1106652,I just accidentally reported all of my text messages as junk. Smh what happens now? @AppleSupport,question,other_general,"Must acknowledge the tweet's actual content, not a fully generic reply",False,,False
2697297,@AppleSupport since updating to 11.1.2 on my iPhone X the battery has been draining faster. Was 100% 2 hours ago. Normal use. Now at 79%. This is different from how it’s been since I got the X. Should be 90% ish.,other,device_troubleshooting,Must acknowledge the specific symptom and give a concrete first troubleshooting step (not a generic 'sorry to hear that'),False,,False
940557,My MacBook is stuck on caps lock 😭 how can I fix this @AppleSupport,other,feature_howto,Must correctly answer the specific product question asked,False,,False
1774754,Ok I’m bout tired of seeing these damn boxes all over my iPhone.  @AppleSupport wyd. Why y’all haven’t fixed this yet 🤨 #WASTEyutes,other,other_general,"Must acknowledge the tweet's actual content, not a fully generic reply",False,,False
2277950,why can't my songs download over wifi 🙄 @115948 @AppleSupport,other,device_troubleshooting,Must acknowledge the specific symptom and give a concrete first troubleshooting step (not a generic 'sorry to hear that'),False,,False
1507339,Wtf was y’all point of changing the “I️” like y’all really fucking annoying @115858 @AppleSupport,other,device_troubleshooting,Must acknowledge the specific symptom and give a concrete first troubleshooting step (not a generic 'sorry to hear that'),False,,True
1484858,"Hey @applesupport can you help me?
https://t.co/eFMPy1bQkd",question,other_general,"Must acknowledge the tweet's actual content, not a fully generic reply",False,,True
2592235,It’s sad that the calculator bug still exists @AppleSupport https://t.co/hDvWOioVn3,other,device_troubleshooting,Must acknowledge the specific symptom and give a concrete first troubleshooting step (not a generic 'sorry to hear that'),False,,False
2627809,"@AppleSupport good morning, my iPad is showing a personal hotspot option even though my phone hotspot is off. And it doesn’t connect to it when I enable hotspot then tap on the personal hotspot. a fix which is to reset the network settings but it comes back every time. https://t.co/rJssEHSSNH",other,other_general,"Must acknowledge the tweet's actual content, not a fully generic reply",False,,False
1833609,@AppleSupport updated my 6plus yesterday and my battery has been draining faster than ever! I use to have great battery life. What’s up?,question,device_troubleshooting,Must acknowledge the specific symptom and give a concrete first troubleshooting step (not a generic 'sorry to hear that'),False,,True
2947108,@AppleSupport is non contigous selection possible on Pages?,question,feature_howto,Must correctly answer the specific product question asked,False,,False
2335073,I can’t make phone calls 🙃 @AppleSupport https://t.co/aNdVFdzL1o,other,other_general,"Must acknowledge the tweet's actual content, not a fully generic reply",False,,False
2434670,"@AppleSupport hi, since ios 11.0.3 update my📱 7 can’t connect to WiFi. How to fix it? Thanks!",question,device_troubleshooting,Must acknowledge the specific symptom and give a concrete first troubleshooting step (not a generic 'sorry to hear that'),False,,False
1931117,@AppleSupport  is it better now for for my phone and battery now that I can update to iOS 11 ? no?,question,device_troubleshooting,Must acknowledge the specific symptom and give a concrete first troubleshooting step (not a generic 'sorry to hear that'),False,,False
2305157,".@AppleSupport you still haven’t fixed it. I’m about to return my Apple Watch because I’m not down to pay $15?/month for something that doesn’t work. Just like the first Apple Watch I bought, another half baked product. https://t.co/WzY8PKAk47",question,billing_subscription,"Must direct to reportaproblem.apple.com or request account details to investigate the charge, without promising a refund outright",False,,False
368785,"Dear @AppleSupport, the keyboard on ios 11 is absolutely not working on my 5S. Like ABSOLUTELY NOT. I’m turning mad. Please do something.",other,device_troubleshooting,Must acknowledge the specific symptom and give a concrete first troubleshooting step (not a generic 'sorry to hear that'),False,,False
325484,"@AppleSupport hi, i update to Hugh Sierra but install stuck on progress bar for 2 days, so i power off my Mbp and now impossible tu update, everytime i return to recovery boot menu 😭😭😭it’s been 4 days i try... think my Mbp is dead 😭😭😭",other,device_troubleshooting,Must acknowledge the specific symptom and give a concrete first troubleshooting step (not a generic 'sorry to hear that'),False,,False
448397,@AppleSupport I’ve done a backup to my new iPhone X everything has transferred over except images and videos why is this?,question,other_general,"Must acknowledge the tweet's actual content, not a fully generic reply",False,,False
1747389,@AppleSupport how can i make my phone stop this uppercase I️ into symbols bs?,question,feature_howto,Must correctly answer the specific product question asked,False,,False
55967,@AppleSupport Will you please put the texting from the photo app option back? It is super annoying having to get out of photos to txt a pic.,question,other_general,"Must acknowledge the tweet's actual content, not a fully generic reply",False,,False
1186577,@115858 @AppleSupport My wife's Apple Watch is causing skin reactions. Unsure if it's just strap or watch as well but she can't wear anymore.,other,other_general,"Must acknowledge the tweet's actual content, not a fully generic reply",False,,False
2377125,@AppleSupport since I updated my new 6s plus to 11.1.1 iOS I no longer am receiving any of my phone calls or voice mails. #1 job is phone.,other,other_general,"Must acknowledge the tweet's actual content, not a fully generic reply",False,,False
2360401,I️ am also a victim of this foolery @AppleSupport https://t.co/CgdJohg2N3,other,device_troubleshooting,Must acknowledge the specific symptom and give a concrete first troubleshooting step (not a generic 'sorry to hear that'),False,,False
1171401,@AppleSupport help! This just happened? 😭 it turns on fine but then this happens when i go to enter the password and after 1-2min it dies?😭,question,account_access,"Must direct to the correct Apple ID/iCloud recovery or 2FA path, not a generic password reset",False,,False
2021640,how the hell do i get rid of this apple glitch? I’m so tired of seeing a “?” every goddamn time the letter “i” is tweeted. @AppleSupport,question,device_troubleshooting,Must acknowledge the specific symptom and give a concrete first troubleshooting step (not a generic 'sorry to hear that'),False,,False
1738785,My phone has been glitchin like a bitch lately. @AppleSupport y'all are funny!,other,device_troubleshooting,Must acknowledge the specific symptom and give a concrete first troubleshooting step (not a generic 'sorry to hear that'),False,,False
1403895,@AppleSupport is anyone else having problems with iPhone 6 after the last update? Phone keeps freezing on apps etc. having to switch on/off.,question,device_troubleshooting,Must acknowledge the specific symptom and give a concrete first troubleshooting step (not a generic 'sorry to hear that'),False,,False
327093,@AppleSupport updated to iOS 11.0.2 and now my phone is super slow and laggy,other,device_troubleshooting,Must acknowledge the specific symptom and give a concrete first troubleshooting step (not a generic 'sorry to hear that'),False,,True
